agent,pinf,pmd,pad,popi,prd,state,susceptible
convai_agent_73,0.1,0.05,0.15,0.2,0.3,neutral,true
convai_agent_74,0.15,0.1,0.15,0.25,0.2,neutral,true
convai_agent_75,0.05,0.075,0.05,0.1,0.1,neutral,false
convai_agent_76,0.1,0.1,0.1,0.15,0.3,infected,true
convai_agent_77,0.05,0.05,0.1,0.25,0.1,neutral,true
convai_agent_78,0.05,0.075,0.05,0.15,0.2,neutral,false
convai_agent_79,0.05,0.075,0.05,0.1,0.1,neutral,false
convai_agent_80,0.1,0.1,0.1,0.1,0.2,neutral,true
convai_agent_81,0.15,0.05,0.05,0.25,0.2,neutral,false
convai_agent_82,0.1,0.05,0.15,0.2,0.2,neutral,true
convai_agent_83,0.05,0.075,0.075,0.1,0.2,neutral,false
convai_agent_84,0.1,0.05,0.05,0.25,0.1,neutral,false
convai_agent_85,0.05,0.1,0.05,0.1,0.2,neutral,true
convai_agent_86,0.1,0.05,0.05,0.25,0.1,neutral,false
convai_agent_87,0.15,0.1,0.05,0.25,0.4,neutral,false
convai_agent_88,0.15,0.05,0.05,0.2,0.3,neutral,false
convai_agent_89,0.15,0.05,0.15,0.2,0.3,neutral,true
convai_agent_90,0.05,0.1,0.05,0.2,0.2,neutral,false
convai_agent_91,0.1,0.05,0.15,0.15,0.4,neutral,false
convai_agent_92,0.05,0.1,0.1,0.15,0.4,neutral,false
convai_agent_93,0.05,0.075,0.05,0.25,0.3,neutral,false
convai_agent_94,0.15,0.1,0.15,0.25,0.4,neutral,false
convai_agent_95,0.15,0.1,0.15,0.1,0.4,neutral,true
convai_agent_96,0.1,0.05,0.15,0.15,0.3,neutral,false
convai_agent_97,0.15,0.05,0.1,0.2,0.4,neutral,true
convai_agent_98,0.15,0.05,0.05,0.25,0.1,neutral,true
convai_agent_99,0.1,0.1,0.15,0.2,0.2,neutral,true
convai_agent_100,0.1,0.05,0.1,0.1,0.1,neutral,false
convai_agent_101,0.05,0.1,0.1,0.15,0.3,neutral,true
convai_agent_102,0.15,0.1,0.1,0.15,0.1,neutral,true
convai_agent_103,0.15,0.1,0.05,0.25,0.1,neutral,false
convai_agent_104,0.05,0.075,0.075,0.25,0.3,neutral,false
convai_agent_105,0.05,0.05,0.1,0.2,0.1,neutral,false
convai_agent_106,0.05,0.1,0.05,0.2,0.1,neutral,false
convai_agent_107,0.05,0.1,0.1,0.25,0.3,neutral,false
convai_agent_108,0.05,0.1,0.15,0.1,0.2,neutral,false
convai_agent_109,0.15,0.05,0.1,0.2,0.1,neutral,false
convai_agent_110,0.05,0.05,0.15,0.1,0.1,neutral,false
convai_agent_111,0.15,0.05,0.05,0.15,0.2,neutral,false
convai_agent_112,0.075,0.075,0.05,0.1,0.4,neutral,false
convai_agent_113,0.15,0.05,0.15,0.25,0.4,neutral,false
convai_agent_114,0.15,0.1,0.1,0.25,0.3,neutral,false
convai_agent_115,0.1,0.05,0.15,0.1,0.1,neutral,false
convai_agent_116,0.15,0.1,0.15,0.2,0.4,neutral,false
convai_agent_117,0.05,0.05,0.05,0.15,0.2,neutral,false
convai_agent_118,0.05,0.1,0.05,0.2,0.3,neutral,true
convai_agent_119,0.15,0.1,0.15,0.1,0.3,neutral,false
convai_agent_120,0.1,0.05,0.15,0.2,0.1,neutral,false
convai_agent_121,0.05,0.1,0.05,0.25,0.3,neutral,false
convai_agent_122,0.05,0.1,0.05,0.2,0.2,neutral,false
convai_agent_123,0.1,0.1,0.05,0.15,0.3,neutral,true
convai_agent_124,0.15,0.05,0.1,0.25,0.3,neutral,false
convai_agent_125,0.05,0.1,0.075,0.1,0.1,neutral,false
convai_agent_126,0.15,0.05,0.15,0.2,0.1,neutral,false
convai_agent_127,0.05,0.05,0.05,0.1,0.2,neutral,false
convai_agent_128,0.1,0.05,0.15,0.15,0.3,neutral,false
convai_agent_129,0.15,0.1,0.1,0.1,0.1,neutral,false
convai_agent_130,0.05,0.1,0.15,0.2,0.4,neutral,true
convai_agent_131,0.075,0.1,0.05,0.1,0.4,neutral,false
convai_agent_132,0.05,0.1,0.05,0.15,0.3,neutral,false
convai_agent_133,0.1,0.1,0.05,0.2,0.1,neutral,false
convai_agent_134,0.15,0.1,0.1,0.1,0.4,neutral,false
convai_agent_135,0.05,0.075,0.05,0.15,0.2,neutral,true
convai_agent_136,0.05,0.1,0.1,0.25,0.3,neutral,false
convai_agent_137,0.1,0.1,0.15,0.25,0.4,neutral,false
convai_agent_138,0.05,0.1,0.15,0.1,0.3,neutral,false
convai_agent_139,0.15,0.1,0.15,0.15,0.1,neutral,false
convai_agent_140,0.15,0.1,0.1,0.25,0.4,neutral,false
convai_agent_141,0.05,0.075,0.05,0.1,0.1,neutral,false
convai_agent_142,0.05,0.1,0.05,0.15,0.2,neutral,false
convai_agent_143,0.15,0.1,0.05,0.2,0.3,neutral,false
convai_agent_144,0.05,0.05,0.05,0.2,0.2,neutral,false
convai_agent_145,0.05,0.1,0.05,0.2,0.2,neutral,true
convai_agent_146,0.1,0.1,0.15,0.2,0.2,neutral,false
convai_agent_147,0.1,0.1,0.05,0.25,0.2,neutral,true
convai_agent_148,0.1,0.05,0.1,0.2,0.3,neutral,false
convai_agent_149,0.05,0.05,0.1,0.25,0.2,neutral,false
convai_agent_150,0.1,0.05,0.1,0.2,0.4,neutral,false
convai_agent_151,0.05,0.05,0.15,0.2,0.1,neutral,true
convai_agent_152,0.05,0.05,0.15,0.2,0.4,neutral,false
convai_agent_153,0.075,0.1,0.05,0.2,0.1,neutral,false
convai_agent_154,0.05,0.075,0.075,0.1,0.4,neutral,false
convai_agent_155,0.15,0.1,0.15,0.1,0.1,neutral,true
convai_agent_156,0.05,0.1,0.1,0.1,0.1,neutral,false
convai_agent_157,0.05,0.1,0.1,0.1,0.2,neutral,false
convai_agent_158,0.15,0.1,0.05,0.1,0.4,neutral,false
convai_agent_159,0.15,0.1,0.15,0.2,0.2,neutral,false
convai_agent_160,0.05,0.1,0.15,0.15,0.1,neutral,false
convai_agent_161,0.05,0.075,0.075,0.15,0.4,neutral,true
convai_agent_162,0.15,0.1,0.1,0.25,0.3,neutral,false
convai_agent_163,0.075,0.075,0.05,0.2,0.1,neutral,false
convai_agent_164,0.1,0.05,0.05,0.25,0.1,neutral,true
convai_agent_165,0.15,0.1,0.15,0.15,0.1,neutral,false
convai_agent_166,0.1,0.05,0.05,0.15,0.3,neutral,true
convai_agent_167,0.1,0.1,0.05,0.25,0.4,neutral,false
convai_agent_168,0.15,0.05,0.05,0.25,0.1,neutral,false
convai_agent_169,0.1,0.1,0.15,0.25,0.4,neutral,false
convai_agent_170,0.15,0.05,0.15,0.1,0.1,neutral,false
convai_agent_171,0.15,0.1,0.1,0.2,0.1,neutral,false
convai_agent_172,0.15,0.05,0.15,0.15,0.4,neutral,false
convai_agent_173,0.05,0.1,0.05,0.25,0.2,neutral,false
convai_agent_174,0.1,0.05,0.1,0.25,0.3,neutral,false
convai_agent_175,0.1,0.05,0.1,0.1,0.4,neutral,false
convai_agent_176,0.05,0.075,0.075,0.1,0.1,neutral,false
convai_agent_177,0.05,0.1,0.05,0.25,0.2,neutral,false
convai_agent_178,0.05,0.05,0.05,0.2,0.3,neutral,false
convai_agent_179,0.15,0.1,0.15,0.2,0.4,neutral,false
convai_agent_180,0.1,0.05,0.1,0.15,0.2,neutral,false
convai_agent_181,0.05,0.075,0.05,0.1,0.1,neutral,false
convai_agent_182,0.05,0.05,0.05,0.1,0.4,neutral,true
convai_agent_183,0.05,0.075,0.075,0.15,0.1,neutral,true
convai_agent_184,0.05,0.05,0.1,0.25,0.3,neutral,false
convai_agent_185,0.05,0.075,0.05,0.15,0.2,neutral,false
convai_agent_186,0.05,0.05,0.15,0.1,0.3,neutral,false
convai_agent_187,0.05,0.05,0.1,0.1,0.1,neutral,false
convai_agent_188,0.05,0.1,0.05,0.2,0.2,neutral,true
convai_agent_189,0.05,0.05,0.15,0.15,0.1,neutral,false
convai_agent_190,0.15,0.1,0.1,0.15,0.4,neutral,false
convai_agent_191,0.05,0.075,0.05,0.2,0.2,neutral,true
convai_agent_192,0.1,0.05,0.15,0.25,0.3,neutral,false
convai_agent_193,0.15,0.1,0.05,0.2,0.1,neutral,false
convai_agent_194,0.1,0.05,0.05,0.25,0.2,neutral,false
convai_agent_195,0.15,0.1,0.15,0.15,0.1,neutral,false
convai_agent_196,0.05,0.1,0.05,0.1,0.4,neutral,false
convai_agent_197,0.15,0.1,0.05,0.1,0.3,neutral,false
convai_agent_198,0.1,0.05,0.1,0.25,0.1,neutral,true
convai_agent_199,0.075,0.1,0.05,0.1,0.3,neutral,false
convai_agent_200,0.15,0.05,0.1,0.1,0.1,neutral,false
convai_agent_201,0.1,0.05,0.05,0.1,0.2,neutral,false
convai_agent_202,0.05,0.1,0.05,0.1,0.1,neutral,false
convai_agent_203,0.05,0.1,0.05,0.1,0.2,neutral,false
convai_agent_204,0.15,0.05,0.1,0.25,0.1,neutral,true
convai_agent_205,0.1,0.1,0.15,0.15,0.2,neutral,false
convai_agent_206,0.15,0.05,0.1,0.2,0.1,neutral,true
convai_agent_207,0.075,0.075,0.05,0.1,0.3,neutral,true
convai_agent_208,0.15,0.05,0.15,0.25,0.4,neutral,false
convai_agent_209,0.05,0.075,0.05,0.2,0.4,neutral,true
convai_agent_210,0.05,0.1,0.05,0.1,0.3,neutral,false
convai_agent_211,0.05,0.05,0.1,0.25,0.4,neutral,false
convai_agent_212,0.075,0.075,0.05,0.25,0.3,neutral,false
convai_agent_213,0.05,0.1,0.05,0.25,0.2,neutral,false
convai_agent_214,0.05,0.1,0.05,0.15,0.4,neutral,true
convai_agent_215,0.1,0.05,0.1,0.25,0.4,neutral,false
convai_agent_216,0.1,0.05,0.05,0.1,0.3,neutral,false
convai_agent_217,0.1,0.05,0.05,0.1,0.2,neutral,false
convai_agent_218,0.075,0.1,0.075,0.1,0.3,neutral,false
convai_agent_219,0.15,0.05,0.15,0.15,0.2,neutral,false
convai_agent_220,0.05,0.1,0.05,0.15,0.4,neutral,false
convai_agent_221,0.15,0.05,0.1,0.2,0.1,neutral,false
convai_agent_222,0.05,0.1,0.15,0.25,0.2,neutral,false
convai_agent_223,0.1,0.05,0.15,0.25,0.3,neutral,true
convai_agent_224,0.075,0.075,0.075,0.25,0.1,neutral,false
convai_agent_225,0.1,0.05,0.1,0.25,0.4,neutral,true
convai_agent_226,0.05,0.05,0.15,0.15,0.3,neutral,false
convai_agent_227,0.15,0.05,0.15,0.1,0.3,neutral,false
convai_agent_228,0.15,0.1,0.15,0.2,0.2,neutral,false
convai_agent_229,0.05,0.1,0.05,0.1,0.3,neutral,false
convai_agent_230,0.05,0.05,0.1,0.2,0.2,neutral,false
convai_agent_231,0.15,0.1,0.15,0.15,0.1,neutral,false
convai_agent_232,0.05,0.075,0.05,0.15,0.4,neutral,false
convai_agent_233,0.05,0.05,0.15,0.25,0.4,neutral,false
convai_agent_234,0.1,0.05,0.1,0.2,0.2,neutral,false
convai_agent_235,0.05,0.1,0.15,0.15,0.2,neutral,true
convai_agent_236,0.15,0.05,0.1,0.1,0.1,neutral,false
convai_agent_237,0.15,0.1,0.05,0.2,0.1,neutral,true
convai_agent_238,0.15,0.1,0.05,0.15,0.3,neutral,false
convai_agent_239,0.05,0.075,0.05,0.25,0.2,neutral,false
convai_agent_240,0.15,0.05,0.05,0.25,0.2,neutral,true
convai_agent_241,0.05,0.05,0.1,0.25,0.3,neutral,false
convai_agent_242,0.05,0.1,0.075,0.15,0.1,neutral,false
convai_agent_243,0.075,0.075,0.05,0.1,0.3,neutral,false
convai_agent_244,0.05,0.075,0.05,0.1,0.2,neutral,false
convai_agent_245,0.075,0.075,0.05,0.15,0.4,neutral,false
convai_agent_246,0.1,0.05,0.15,0.15,0.4,neutral,false
convai_agent_247,0.15,0.05,0.15,0.2,0.1,neutral,false
convai_agent_248,0.1,0.1,0.05,0.1,0.3,neutral,true
convai_agent_249,0.15,0.05,0.1,0.2,0.1,neutral,false
convai_agent_250,0.15,0.1,0.15,0.25,0.1,neutral,false
convai_agent_251,0.075,0.1,0.05,0.2,0.2,neutral,false
convai_agent_252,0.05,0.1,0.1,0.25,0.4,neutral,false
convai_agent_253,0.1,0.05,0.05,0.1,0.2,neutral,false
convai_agent_254,0.1,0.1,0.05,0.15,0.4,neutral,false
convai_agent_255,0.1,0.05,0.05,0.25,0.4,neutral,false
convai_agent_256,0.05,0.05,0.1,0.25,0.2,neutral,false
convai_agent_257,0.075,0.1,0.075,0.15,0.2,neutral,false
convai_agent_258,0.05,0.075,0.05,0.25,0.4,neutral,false
convai_agent_259,0.1,0.1,0.1,0.1,0.1,neutral,false
convai_agent_260,0.05,0.05,0.1,0.25,0.2,neutral,false
convai_agent_261,0.05,0.05,0.1,0.2,0.2,neutral,true
convai_agent_262,0.15,0.1,0.05,0.15,0.1,neutral,false
convai_agent_263,0.15,0.1,0.1,0.1,0.2,neutral,true
convai_agent_264,0.15,0.1,0.1,0.25,0.4,neutral,false
convai_agent_265,0.05,0.1,0.15,0.1,0.1,neutral,true
convai_agent_266,0.05,0.05,0.1,0.25,0.2,neutral,false
convai_agent_267,0.15,0.1,0.1,0.15,0.1,neutral,false
convai_agent_268,0.05,0.05,0.15,0.2,0.2,neutral,false
convai_agent_269,0.05,0.1,0.075,0.25,0.4,neutral,false
convai_agent_270,0.05,0.075,0.075,0.1,0.4,neutral,false
convai_agent_271,0.05,0.075,0.075,0.1,0.3,neutral,false
convai_agent_272,0.1,0.05,0.1,0.2,0.1,neutral,false
convai_agent_273,0.15,0.05,0.05,0.25,0.3,neutral,false
convai_agent_274,0.05,0.1,0.05,0.25,0.2,neutral,false
convai_agent_275,0.05,0.075,0.05,0.25,0.3,neutral,false
convai_agent_276,0.05,0.075,0.05,0.15,0.1,neutral,false
convai_agent_277,0.05,0.05,0.15,0.2,0.2,neutral,false
convai_agent_278,0.075,0.075,0.05,0.15,0.3,neutral,false
convai_agent_279,0.15,0.1,0.1,0.2,0.4,neutral,true
convai_agent_280,0.1,0.1,0.1,0.1,0.2,neutral,true
convai_agent_281,0.1,0.05,0.15,0.15,0.2,neutral,false
convai_agent_282,0.1,0.05,0.05,0.2,0.1,neutral,false
convai_agent_283,0.1,0.1,0.1,0.1,0.1,neutral,true
convai_agent_284,0.1,0.05,0.1,0.2,0.3,neutral,false
convai_agent_285,0.1,0.05,0.15,0.15,0.4,neutral,false
convai_agent_286,0.15,0.05,0.05,0.2,0.3,neutral,false
convai_agent_287,0.05,0.1,0.1,0.1,0.4,neutral,false
convai_agent_288,0.05,0.1,0.05,0.2,0.2,neutral,true
convai_agent_289,0.075,0.075,0.075,0.2,0.3,neutral,true
convai_agent_290,0.1,0.1,0.1,0.1,0.2,neutral,false
convai_agent_291,0.05,0.05,0.15,0.15,0.2,neutral,true
convai_agent_292,0.05,0.05,0.05,0.15,0.1,neutral,false
convai_agent_293,0.15,0.05,0.15,0.2,0.3,neutral,false
convai_agent_294,0.05,0.1,0.05,0.1,0.4,neutral,false
convai_agent_295,0.05,0.05,0.15,0.15,0.2,neutral,false
convai_agent_296,0.15,0.1,0.15,0.1,0.4,neutral,true
convai_agent_297,0.1,0.05,0.05,0.25,0.2,neutral,false
convai_agent_298,0.15,0.1,0.1,0.1,0.4,neutral,false
convai_agent_299,0.1,0.05,0.15,0.15,0.4,neutral,false
convai_agent_300,0.05,0.1,0.05,0.1,0.4,neutral,true
convai_agent_301,0.1,0.1,0.15,0.1,0.3,neutral,false
convai_agent_302,0.05,0.05,0.15,0.1,0.4,neutral,false
convai_agent_303,0.1,0.05,0.1,0.25,0.2,neutral,true
convai_agent_304,0.1,0.1,0.15,0.25,0.2,neutral,false
convai_agent_305,0.05,0.1,0.05,0.1,0.2,neutral,false
convai_agent_306,0.05,0.1,0.15,0.1,0.1,neutral,false
convai_agent_307,0.15,0.05,0.15,0.1,0.1,neutral,false
convai_agent_308,0.15,0.1,0.15,0.15,0.3,neutral,true
convai_agent_309,0.05,0.1,0.05,0.2,0.3,neutral,false
convai_agent_310,0.15,0.1,0.1,0.25,0.3,neutral,true
convai_agent_311,0.05,0.05,0.05,0.15,0.1,neutral,false
convai_agent_312,0.075,0.1,0.075,0.2,0.4,neutral,true
convai_agent_313,0.1,0.1,0.05,0.2,0.2,neutral,false
convai_agent_314,0.05,0.1,0.05,0.15,0.2,neutral,false
convai_agent_315,0.05,0.1,0.05,0.15,0.1,neutral,false
convai_agent_316,0.1,0.05,0.15,0.15,0.4,neutral,false
convai_agent_317,0.05,0.1,0.05,0.2,0.4,neutral,true
convai_agent_318,0.05,0.1,0.05,0.15,0.3,neutral,false
convai_agent_319,0.15,0.1,0.15,0.2,0.4,neutral,false
convai_agent_320,0.05,0.1,0.1,0.25,0.4,neutral,true
convai_agent_321,0.05,0.075,0.075,0.2,0.4,neutral,true
convai_agent_322,0.1,0.1,0.05,0.1,0.1,neutral,false
convai_agent_323,0.05,0.075,0.05,0.2,0.4,neutral,false
convai_agent_324,0.05,0.1,0.05,0.25,0.4,neutral,false
convai_agent_325,0.1,0.05,0.05,0.2,0.1,neutral,false
convai_agent_326,0.05,0.075,0.075,0.15,0.4,neutral,false
convai_agent_327,0.15,0.1,0.1,0.1,0.3,neutral,true
convai_agent_328,0.075,0.1,0.05,0.2,0.3,neutral,false
convai_agent_329,0.1,0.05,0.15,0.1,0.1,neutral,false
convai_agent_330,0.05,0.075,0.05,0.2,0.3,neutral,false
convai_agent_331,0.05,0.05,0.15,0.25,0.4,neutral,true
convai_agent_332,0.075,0.075,0.05,0.2,0.1,neutral,false
convai_agent_333,0.1,0.05,0.15,0.25,0.2,neutral,true
convai_agent_334,0.05,0.05,0.1,0.15,0.3,neutral,false
convai_agent_335,0.05,0.05,0.05,0.1,0.2,neutral,false
convai_agent_336,0.1,0.1,0.1,0.2,0.3,neutral,false
convai_agent_337,0.05,0.1,0.1,0.1,0.3,neutral,true
convai_agent_338,0.05,0.075,0.075,0.15,0.3,neutral,true
convai_agent_339,0.05,0.1,0.15,0.1,0.3,neutral,false
convai_agent_340,0.075,0.075,0.075,0.1,0.3,neutral,false
convai_agent_341,0.15,0.1,0.15,0.2,0.3,neutral,false
convai_agent_342,0.15,0.05,0.1,0.2,0.3,neutral,false
convai_agent_343,0.15,0.1,0.15,0.25,0.4,neutral,false
convai_agent_344,0.05,0.05,0.05,0.15,0.1,neutral,false
convai_agent_345,0.05,0.1,0.05,0.2,0.2,neutral,false
convai_agent_346,0.05,0.075,0.075,0.15,0.3,neutral,false
convai_agent_347,0.05,0.1,0.1,0.25,0.1,neutral,false
convai_agent_348,0.15,0.1,0.15,0.15,0.4,neutral,false
convai_agent_349,0.05,0.075,0.05,0.1,0.3,neutral,false
convai_agent_350,0.05,0.1,0.075,0.25,0.2,neutral,false
convai_agent_351,0.075,0.1,0.075,0.2,0.3,neutral,true
convai_agent_352,0.05,0.1,0.1,0.2,0.4,neutral,false
convai_agent_353,0.15,0.05,0.1,0.25,0.1,neutral,false
convai_agent_354,0.05,0.1,0.1,0.1,0.2,neutral,false
convai_agent_355,0.05,0.075,0.05,0.15,0.2,neutral,true
convai_agent_356,0.05,0.1,0.05,0.25,0.2,neutral,false
convai_agent_357,0.1,0.1,0.15,0.2,0.3,neutral,false
convai_agent_358,0.05,0.05,0.1,0.15,0.1,neutral,false
convai_agent_359,0.1,0.1,0.15,0.15,0.4,neutral,false
convai_agent_360,0.1,0.05,0.05,0.2,0.4,neutral,false
convai_agent_361,0.1,0.05,0.1,0.25,0.4,neutral,true
convai_agent_362,0.05,0.1,0.05,0.15,0.1,neutral,false
convai_agent_363,0.1,0.1,0.15,0.15,0.2,neutral,false
convai_agent_364,0.15,0.1,0.15,0.25,0.3,neutral,false
convai_agent_365,0.15,0.05,0.1,0.1,0.1,neutral,false
convai_agent_366,0.05,0.1,0.1,0.25,0.4,neutral,false
convai_agent_367,0.05,0.075,0.05,0.2,0.2,neutral,false
convai_agent_368,0.05,0.1,0.15,0.1,0.4,neutral,false
convai_agent_369,0.05,0.1,0.15,0.2,0.3,neutral,false
convai_agent_370,0.15,0.05,0.1,0.1,0.4,neutral,false
convai_agent_371,0.05,0.05,0.05,0.25,0.1,neutral,false
convai_agent_372,0.05,0.1,0.15,0.2,0.4,neutral,false
convai_agent_373,0.05,0.1,0.05,0.2,0.3,neutral,false
convai_agent_374,0.075,0.075,0.05,0.1,0.3,neutral,false
convai_agent_375,0.1,0.05,0.1,0.25,0.4,neutral,false
convai_agent_376,0.1,0.05,0.15,0.2,0.1,neutral,false
convai_agent_377,0.05,0.1,0.075,0.1,0.2,neutral,false
convai_agent_378,0.05,0.1,0.05,0.15,0.4,neutral,false
convai_agent_379,0.15,0.05,0.05,0.1,0.4,neutral,true
convai_agent_380,0.05,0.05,0.1,0.1,0.4,neutral,false
convai_agent_381,0.15,0.1,0.05,0.1,0.1,neutral,false
convai_agent_382,0.1,0.05,0.1,0.1,0.2,neutral,false
convai_agent_383,0.1,0.05,0.05,0.15,0.3,neutral,true
convai_agent_384,0.15,0.05,0.15,0.2,0.4,neutral,false
convai_agent_385,0.1,0.1,0.15,0.1,0.4,neutral,true
convai_agent_386,0.1,0.1,0.05,0.25,0.1,neutral,false
convai_agent_387,0.1,0.05,0.1,0.15,0.1,neutral,false
convai_agent_388,0.1,0.05,0.1,0.1,0.3,neutral,false
convai_agent_389,0.05,0.05,0.05,0.25,0.1,neutral,false
convai_agent_390,0.1,0.05,0.05,0.1,0.3,neutral,false
convai_agent_391,0.15,0.05,0.05,0.25,0.1,neutral,false
convai_agent_392,0.1,0.1,0.1,0.2,0.1,neutral,false
convai_agent_393,0.1,0.05,0.15,0.25,0.3,neutral,false
convai_agent_394,0.05,0.05,0.15,0.1,0.4,neutral,false
convai_agent_395,0.1,0.05,0.15,0.25,0.3,neutral,false
convai_agent_396,0.1,0.1,0.15,0.1,0.4,neutral,true
convai_agent_397,0.15,0.1,0.1,0.15,0.1,neutral,false
convai_agent_398,0.15,0.05,0.05,0.25,0.1,neutral,false
convai_agent_399,0.075,0.1,0.075,0.1,0.3,neutral,false
convai_agent_400,0.05,0.1,0.05,0.2,0.2,neutral,false
convai_agent_401,0.05,0.075,0.05,0.25,0.3,neutral,false
convai_agent_402,0.05,0.1,0.05,0.2,0.4,neutral,false
convai_agent_403,0.1,0.05,0.15,0.15,0.2,neutral,false
convai_agent_404,0.05,0.1,0.15,0.2,0.4,neutral,false
convai_agent_405,0.1,0.05,0.15,0.15,0.4,neutral,false
convai_agent_406,0.05,0.05,0.1,0.1,0.4,neutral,false
convai_agent_407,0.05,0.1,0.05,0.15,0.4,neutral,false
convai_agent_408,0.15,0.05,0.1,0.25,0.3,neutral,false
convai_agent_409,0.1,0.1,0.15,0.1,0.1,neutral,false
convai_agent_410,0.1,0.1,0.1,0.1,0.1,neutral,false
